thread_id,Gstart,Gend,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
3,0,306,1745484465679.52,1745484465842.04,1745484465842.20,1745484465842.20,1745484465858.83,1745484465858.83,1745484465858.90,0.17,16.63,0.07,16.86
2,0,306,1745484465697.00,1745484465858.91,1745484465859.54,1745484465859.54,1745484465876.33,1745484465876.33,1745484465876.61,0.63,16.79,0.28,17.70
5,0,306,1745484465714.54,1745484465876.62,1745484465876.93,1745484465876.93,1745484465894.06,1745484465894.06,1745484465894.14,0.31,17.13,0.08,17.52
8,0,306,1745484465732.23,1745484465894.15,1745484465894.32,1745484465894.32,1745484465911.04,1745484465911.04,1745484465911.09,0.18,16.71,0.06,16.94
1,0,306,1745484465749.81,1745484465911.10,1745484465911.27,1745484465911.27,1745484465928.14,1745484465928.14,1745484465928.20,0.17,16.87,0.06,17.10
9,0,306,1745484465766.82,1745484465928.21,1745484465928.38,1745484465928.38,1745484465945.08,1745484465945.09,1745484465945.17,0.17,16.70,0.08,16.96
6,0,306,1745484465784.53,1745484465945.18,1745484465945.68,1745484465945.68,1745484465962.41,1745484465962.41,1745484465962.48,0.49,16.74,0.07,17.30
11,0,306,1745484465801.99,1745484465962.49,1745484465962.66,1745484465962.66,1745484465979.84,1745484465979.84,1745484465979.91,0.17,17.18,0.07,17.42
10,0,306,1745484465819.57,1745484465979.92,1745484465980.09,1745484465980.09,1745484465996.75,1745484465996.75,1745484465996.83,0.17,16.66,0.08,16.91
4,0,306,1745484465836.93,1745484465996.84,1745484465997.47,1745484465997.47,1745484466014.11,1745484466014.11,1745484466014.19,0.63,16.64,0.08,17.35
7,0,306,1745484465853.74,1745484466014.20,1745484466014.37,1745484466014.37,1745484466031.54,1745484466031.54,1745484466031.81,0.17,17.17,0.27,17.61
3,0,306,1745484465871.12,1745484466031.82,1745484466032.11,1745484466032.11,1745484466049.28,1745484466049.28,1745484466049.34,0.29,17.17,0.06,17.52
2,0,306,1745484465888.51,1745484466049.35,1745484466049.52,1745484466049.52,1745484466066.63,1745484466066.63,1745484466066.91,0.17,17.11,0.28,17.56
5,0,306,1745484465905.80,1745484466066.91,1745484466067.52,1745484466067.52,1745484466084.67,1745484466084.67,1745484466084.76,0.60,17.15,0.09,17.84
8,0,306,1745484465922.93,1745484466084.77,1745484466085.26,1745484466085.26,1745484466101.90,1745484466101.90,1745484466101.96,0.49,16.64,0.06,17.19
1,0,306,1745484465940.17,1745484466101.97,1745484466102.14,1745484466102.14,1745484466119.41,1745484466119.41,1745484466119.49,0.17,17.27,0.09,17.52
9,0,306,1745484465957.14,1745484466119.50,1745484466119.67,1745484466119.67,1745484466136.33,1745484466136.33,1745484466136.42,0.17,16.66,0.09,16.92
